GRAPH,NODE DISTANCE,STARTING NODE,ENDING NODE,INTENSITY
Svb Financial Group,2,Nuvasive Inc,K2M Group Holdings Inc,0.016067026
Svb Financial Group,2,Intercontinental Exchange,Zayo Group Holdings Inc,0.000292128
Svb Financial Group,2,Nasdaq Inc,Ehealth Inc,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Volkswagen Ag,0.000292128
Svb Financial Group,2,Geron Co Ltd,Constellation Pharmaceuticals Inc,0.017819792
Svb Financial Group,2,Nasdaq Inc,Cue Biopharma Inc,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Fti Consulting Inc,0.000292128
Svb Financial Group,2,Jp Morgan Chase And Co,Ucb Sa,0.000292128
Svb Financial Group,2,Roku Inc,Fox Corporation,0.000292128
Svb Financial Group,2,Moodys Corp /De/,Jc Penney,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Tal Education Group,0.000292128
Svb Financial Group,2,Aveo Pharmaceuticals Inc,Penn National Gaming Inc,0.02453873
Svb Financial Group,2,Vital Therapies Inc,Compass Diversified Holdings,0.160670258
Svb Financial Group,2,Aveo Pharmaceuticals Inc,Aeterna Zentaris Inc,0.007011066
Svb Financial Group,2,Nii Holdings Inc,Mdc Partners Inc,1.612545134
Svb Financial Group,2,Nasdaq Inc,Marriott International Inc /Md/,0.000292128
Svb Financial Group,2,Moodys Corp /De/,Pitney Bowes Inc,0.000292128
Svb Financial Group,2,Microsoft Corp,Nokia Corp,7.40996623
Svb Financial Group,2,Nasdaq Inc,Windstream Holdings Inc,0.000292128
Svb Financial Group,2,Gci Liberty Inc,Spring Bank Pharmaceuticals Inc,0.000292128
Svb Financial Group,2,Twitter Inc,Wesfarmers Ltd,0.000292128
Svb Financial Group,2,Gci Liberty Inc,Jernigan Capital Inc,0.000292128
Svb Financial Group,2,Nasdaq Inc,Azurrx Biopharma Inc,0.000292128
Svb Financial Group,2,Royal Bank Of Canada,New York Times Co,0.012561493
Svb Financial Group,2,Gilead Sciences Inc,First American Financial Corp,0.00642681
Svb Financial Group,2,Goldman Sachs Group Inc,Publicis Groupe,0.000292128
Svb Financial Group,2,Nasdaq Inc,Futu Holdings Ltd,0.000292128
Svb Financial Group,2,Twitter Inc,Graham Corp,0.000292128
Svb Financial Group,2,Nasdaq Inc,Yintech Investment Holdings Ltd,0.000292128
Svb Financial Group,2,Bank Of America Corp,China Eastern Airlines Corp Ltd,6.394092009
Svb Financial Group,2,Intercontinental Exchange,Vista Outdoor Inc,0.000292128
Svb Financial Group,2,Regeneron Pharmaceuticals Inc,Pilgrims Pride Corp,0.155411959
Svb Financial Group,2,Medtronic Public Limited Company,China Botanic Pharmaceutical,0.015774898
Svb Financial Group,2,Nasdaq Inc,Inmune Bio Inc,0.000292128
Svb Financial Group,2,Intercontinental Exchange,New York And Company,0.000292128
Svb Financial Group,2,Nasdaq Inc,Carrols Restaurant Group Inc,0.000292128
Svb Financial Group,2,Morgan Stanley International Holdings Inc,Deutsche Bank,18.24425385
Svb Financial Group,2,Nasdaq Inc,Entasis Therapeutics Holdings Inc,0.000876383
Svb Financial Group,2,Mersana Therapeutics Inc,Aravive Inc,0.003505533
Svb Financial Group,2,Nasdaq Inc,Mannatech Inc,0.000292128
Svb Financial Group,2,Nasdaq Inc,Aldeyra Therapeutics Inc,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Pfenex Inc,0.000292128
Svb Financial Group,2,Microsoft Corp,Marvell Technology Inc,0.000292128
Svb Financial Group,2,Nasdaq Inc,Intra-Cellular Therapies Inc,0.000292128
Svb Financial Group,2,Reata Pharmaceuticals Inc,Lexicon Pharmaceuticals Inc,0.005258299
Svb Financial Group,2,Nasdaq Inc,Nektar Therapeutics,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Goldman Sachs Bdc Inc,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Rexahn Pharmaceuticals,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Bridge Bancorp Inc,0.000292128
Svb Financial Group,2,Fair Isaac Corp,Aci Worldwide Inc,0.004820108
Svb Financial Group,2,Wells Fargo And Company,Community Bank System,0.000292128
Svb Financial Group,2,Moodys Corp /De/,Gnc Holdings Inc,0.000292128
Svb Financial Group,2,Moodys Corp /De/,Fly Leasing Ltd,0.000292128
Svb Financial Group,2,Brainstorm Cell Therapeutics Inc,Catalent Inc,0.347047757
Svb Financial Group,2,Fair Isaac Corp,Pegasystems Inc,0.017527664
Svb Financial Group,2,Goldman Sachs Group Inc,Semiconductor Manufacturing International,0.000292128
Svb Financial Group,2,Jp Morgan Chase And Co,Cel Sci Corp,0.000292128
Svb Financial Group,2,Visa Inc,Global Payments Inc,0.000292128
Svb Financial Group,2,Nasdaq Inc,Allakos Inc,0.000292128
Svb Financial Group,2,Medtronic Public Limited Company,Caribou Coffee Company Inc,0.000292128
Svb Financial Group,2,Waters Corp,Intertek Group Plc,0.000292128
Svb Financial Group,2,Moodys Corp /De/,Nissan Motor Co Ltd,0.000292128
Svb Financial Group,2,Codexis Inc,Azurrx Biopharma Inc,0.005842555
Svb Financial Group,2,Nasdaq Inc,Lifelock Inc,0.000292128
Svb Financial Group,2,Gilead Sciences Inc,Galmed Pharmaceuticals Ltd,0.000292128
Svb Financial Group,2,Kura Oncology,Cooper Industries Plc,0.010906102
Svb Financial Group,2,Nasdaq Inc,Springworks Therapeutics Inc,0.000292128
Svb Financial Group,2,Apollo Global Management Llc,Umb Financial Corp,0.052582993
Svb Financial Group,2,Nasdaq Inc,Caladrius Biosciences Inc,0.024830858
Svb Financial Group,2,Psivida Corp,Alimera Sciences Inc,0.200691758
Svb Financial Group,2,Visa Inc,Gamestop Corp,0.112469181
Svb Financial Group,2,Amgen Inc,Ritter Pharmaceuticals Inc,0.000292128
Svb Financial Group,2,Nasdaq Inc,Sinovac Biotech Ltd,0.000292128
Svb Financial Group,2,Moodys Corp /De/,Diamond Resorts International Inc,0.000292128
Svb Financial Group,2,Nasdaq Inc,United Therapeutics Corp,0.188422393
Svb Financial Group,2,Geron Co Ltd,Keros Therapeutics Inc,0.005404363
Svb Financial Group,2,Bank Of America Corp,Bbandt Corp,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Hamilton Beach Brands Holding Co,0.000292128
Svb Financial Group,2,Medical Transcription Billing Corp,Nasdaq Inc,67.92875589
Svb Financial Group,2,Moodys Corp /De/,Oao Gazprom,0.000292128
Svb Financial Group,2,Moodys Corp /De/,Airbus,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Seadrill Ltd,0.000292128
Svb Financial Group,2,Flexion Therapeutics Inc,Commercial Metals Co,0.039437245
Svb Financial Group,2,Nuance Communications Inc,Heritage Financial Corp /Wa/,0.000292128
Svb Financial Group,2,Dare Bioscience Inc,Chemours Co,0.021033197
Svb Financial Group,2,Twitter Inc,Nzx Ltd,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Ultra Petroleum Corp,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Celadon Group Inc,0.000292128
Svb Financial Group,2,Intercontinental Exchange,58Com Inc,0.000292128
Svb Financial Group,2,Apollo Global Management Llc,Wsfs Financial Corp,0.108087264
Svb Financial Group,2,Us Bancorp,Uber Technologies Inc,2.521646666
Svb Financial Group,2,Hertz Global Holdings Inc,Libbey Inc,0.000292128
Svb Financial Group,2,Trevi Therapeutics Inc,Cara Therapeutics,0.008276953
Svb Financial Group,2,Bank Of America Corp,Cf Industries Holdings,0.000292128
Svb Financial Group,2,Nasdaq Inc,Wd 40 Co,0.000292128
Svb Financial Group,2,Nasdaq Inc,Aura Biosciences Inc,0.000292128
Svb Financial Group,2,Bank Of America Corp,Countrywide Plc,82.74109303
Svb Financial Group,2,Nasdaq Inc,Atlantic Acquisition Corp,0.000292128
Svb Financial Group,2,Ziopharm Oncology Inc,Ashland Global Holdings Inc,0.074784702
Svb Financial Group,2,Regeneron Pharmaceuticals Inc,Dna Brands Inc,0.206826441
Svb Financial Group,2,Nasdaq Inc,Longfin Corp,0.000292128
Svb Financial Group,2,Reata Pharmaceuticals Inc,Eliem Therapeutics Inc,0.001752766
Svb Financial Group,2,Royal Bank Of Canada,Cytosorbents Corp,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Bitauto Holdings Ltd,0.000292128
Svb Financial Group,2,Moodys Corp /De/,First Hawaiian Inc,0.000292128
Svb Financial Group,2,Biolife Solutions Inc,Cellular Biomedicine Group Inc,0.004674044
Svb Financial Group,2,Gilead Sciences Inc,Hookipa Pharma Inc,0.000292128
Svb Financial Group,2,Microsoft Corp,Axon Enterprise Inc,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Lilis Energy Inc,0.000292128
Svb Financial Group,2,Goldman Sachs Group Inc,Viela Bio Inc,0.000292128
Svb Financial Group,2,Nasdaq Inc,Papa Johns International Inc,0.000292128
Svb Financial Group,2,Bank Of America Corp,Countrywide Financial Corp,0.000292128
Svb Financial Group,2,Moodys Corp /De/,Triumph Group Inc,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Plantronics Inc /Ca/,0.000292128
Svb Financial Group,2,Nasdaq Inc,Zurich Insurance Co Ltd,0.000292128
Svb Financial Group,2,Nasdaq Inc,Anaptysbio Inc,0.000292128
Svb Financial Group,2,Amarin Corp Plc,Catabasis Pharmaceuticals Inc,0.01168511
Svb Financial Group,2,Intercontinental Exchange,Nacco Industries Inc,0.000292128
Svb Financial Group,2,Reata Pharmaceuticals Inc,Glenmark Pharmaceuticals Limited,0.077705979
Svb Financial Group,2,Microsoft Corp,Idt Corp,0.339160308
Svb Financial Group,2,Medtronic Public Limited Company,Edwards Lifesciences Corp,0.444034167
Svb Financial Group,2,Goldman Sachs Group Inc,Universal Display,0.000292128
Svb Financial Group,2,Goodyear Tire And Rubber Co /Oh/,Stoneridge Inc,1.343203356
Svb Financial Group,2,Nasdaq Inc,Pavmed Inc,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Golden Star Resources Ltd,0.000292128
Svb Financial Group,2,Moodys Corp /De/,Las Vegas Sands Corp,0.000292128
Svb Financial Group,2,Nasdaq Inc,Glycomimetics Inc,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Garrett Motion Inc,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Rockwell Collins Inc,0.000292128
Svb Financial Group,2,Twitter Inc,Clicks Group Ltd,0.000292128
Svb Financial Group,2,Ophthotech Corp,Proqr Therapeutics,0.131603548
Svb Financial Group,2,Intercontinental Exchange,Build A Bear Workshop Inc,0.000292128
Svb Financial Group,2,Bank Of America Corp,Sony Corp,0.06602087
Svb Financial Group,2,Crispr Therapeutics Inc,Vertex Pharmaceuticals Inc / Ma,2.337021933
Svb Financial Group,2,Gritstone Oncology Inc,Gea Group Aktiengesellschaft,0.026291497
Svb Financial Group,2,Nasdaq Inc,Chinacache International Holdings Ltd,0.000292128
Svb Financial Group,2,Aon Plc,Hsbc Holdings Plc,1.409224226
Svb Financial Group,2,Bank Of America Corp,Total System Services Inc,0.000292128
Svb Financial Group,2,Ziopharm Oncology Inc,Northwest Biotherapeutics Inc,0.005842555
Svb Financial Group,2,Bank Of America Corp,Cymabay Therapeutics,0.000292128
Svb Financial Group,2,Visa Inc,Cadence Bancorporation,0.019280431
Svb Financial Group,2,Microsoft Corp,Jb Hi-Fi,0.000292128
Svb Financial Group,2,Microsoft Corp,Ubisoft Entertainment Sa,0.000292128
Svb Financial Group,2,Gilead Sciences Inc,Scholar Rock Holding Corp,0.012853621
Svb Financial Group,2,Brainstorm Cell Therapeutics Inc,Neuralstem Inc,0.008179577
Svb Financial Group,2,Nasdaq Inc,Camden National Corp,0.000292128
Svb Financial Group,2,Moodys Corp /De/,Diamond Resorts Corp,0.000292128
Svb Financial Group,2,Nasdaq Inc,Arca Biopharma Inc,0.000292128
Svb Financial Group,2,Mednax Inc,Guaranty Bancorp,0.025707241
Svb Financial Group,2,Aspen Aerogels Inc,Basf Se,4.802580072
Svb Financial Group,2,Goldman Sachs Group Inc,Rogers Corp,0.000292128
Svb Financial Group,2,Nasdaq Inc,Gossamer Bio Inc,0.000292128
Svb Financial Group,2,Goldman Sachs Group Inc,Marcus Corp,0.411607988
Svb Financial Group,2,Bank Of America Corp,Blackberry Ltd,0.000292128
Svb Financial Group,2,Moodys Corp /De/,Korea Electric Power Corp,0.000292128
Svb Financial Group,2,Nasdaq Inc,Criteo Ltd,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Kirby Corp,0.000292128
Svb Financial Group,2,Nasdaq Inc,News Corp,0.228151766
Svb Financial Group,2,Intercontinental Exchange,Canntrust Holdings Inc,0.000292128
Svb Financial Group,2,Nuvasive Inc,Globus Medical Inc,0.036515968
Svb Financial Group,2,Brainstorm Cell Therapeutics Inc,Molina Healthcare Inc,0.017527664
Svb Financial Group,2,Intercontinental Exchange,Novagold Resources Inc,0.000292128
Svb Financial Group,2,Trevi Therapeutics Inc,Vanda Pharmaceuticals Inc,0.004674044
Svb Financial Group,2,Moodys Corp /De/,Bank Of Hawaii Corp,0.000292128
Svb Financial Group,2,Twitter Inc,Linkedin Corp,1.674184087
Svb Financial Group,2,Moodys Corp /De/,Ims Health Holdings Inc,0.327183071
Svb Financial Group,2,Nasdaq Inc,Universal Logistics Holdings Inc,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Cpi Aerostructures Inc,0.000292128
Svb Financial Group,2,Nasdaq Inc,Otelco Inc,0.000292128
Svb Financial Group,2,Twitter Inc,Godaddy Inc,0.000292128
Svb Financial Group,2,Nustar Energy Lp,Georgia Pacific Corp,0.037684479
Svb Financial Group,2,Hertz Global Holdings Inc,Ascena Retail Group Inc,0.000292128
Svb Financial Group,2,Geron Co Ltd,Lixte Biotechnology Holdings Inc,0.008763832
Svb Financial Group,2,Codexis Inc,Dyadic International,0.020448942
Svb Financial Group,2,Moodys Corp /De/,Foresight Energy Lp,0.000292128
Svb Financial Group,2,Coca-Cola Company,Monster Beverage Corp,1.500952336
Svb Financial Group,2,Nasdaq Inc,Selecta Biosciences Inc,0.017819792
Svb Financial Group,2,Hertz Global Holdings Inc,Mcdermott Inc,0.000292128
Svb Financial Group,2,Jp Morgan Chase And Co,Biomerica Inc,0.000292128
Svb Financial Group,2,Pacific Biosciences Of California Inc,Enbridge Inc,0.025415114
Svb Financial Group,2,Lloyds Banking Group Plc,Easyjet Plc,0.000292128
Svb Financial Group,2,Apollo Global Management Llc,Talos Energy Inc,0.131749611
Svb Financial Group,2,Iterum Therapeutics Plc,Nabriva Therapeutics Plc,0.004674044
Svb Financial Group,2,Goldman Sachs Group Inc,Doordash Inc,0.000292128
Svb Financial Group,2,Bank Of America Corp,Ubs Group Ag,14.38699915
Svb Financial Group,2,Intercontinental Exchange,Gap Inc,0.596232721
Svb Financial Group,2,Gci Liberty Inc,Sunworks Inc,0.000292128
Svb Financial Group,2,Microsoft Corp,Interdigital Capital Inc,0.000292128
Svb Financial Group,2,Celsion Corp,Smartheat Inc,0.096402155
Svb Financial Group,2,Bank Of America Corp,Athersys Inc / New,0.000292128
Svb Financial Group,2,Neogenomics Inc,Health Discovery Corp,0.015920962
Svb Financial Group,2,Gilead Sciences Inc,Leggett And Platt Inc,0.032134052
Svb Financial Group,2,Visa Inc,Centerpoint Energy Inc,0.000292128
Svb Financial Group,2,Brainstorm Cell Therapeutics Inc,Cytokinetics Inc,0.023662347
Svb Financial Group,2,Codexis Inc,Tate And Lyle Plc,0.122693651
Svb Financial Group,2,Nasdaq Inc,Axcella Health Inc,0.000292128
Svb Financial Group,2,Nasdaq Inc,Medidata Solutions Gmbh,0.000292128
Svb Financial Group,2,Nuvasive Inc,Alphatec Holdings,0.002921277
Svb Financial Group,2,Visa Inc,Netspend Holdings Inc,0.000292128
Svb Financial Group,2,Amgen Inc,Corcept Therapeutics Inc,0.000292128
Svb Financial Group,2,Twitter Inc,Denso Corporation,0.000292128
Svb Financial Group,2,Pfizer Inc,Comerica Inc /New/,0.224354106
Svb Financial Group,2,Hertz Global Holdings Inc,Intelsat Sa,0.000292128
Svb Financial Group,2,Hertz Global Holdings Inc,Frontier Communications Corp,0.000292128
Svb Financial Group,2,Intercontinental Exchange,Intralinks Holdings Inc,0.021033197
Svb Financial Group,2,Nasdaq Inc,Guardant Health Inc,0.000584255
Svb Financial Group,2,Nasdaq Inc,Skandinaviska Enskil,0.841327896
Svb Financial Group,2,Twitter Inc,Transgene Sa,0.000292128
Svb Financial Group,2,Dare Bioscience Inc,Bayer Ag Ord,0.455719277
Svb Financial Group,2,Nasdaq Inc,Stoke Therapeutics Inc,0.000292128
Svb Financial Group,2,Goldman Sachs Group Inc,Uber Technologies Inc,4.188235432
Svb Financial Group,2,Moodys Corp /De/,Washington Prime Group Inc,0.06339172
Svb Financial Group,2,Geron Co Ltd,Energy Services Of America Corp,0.001752766
Svb Financial Group,2,Regeneron Pharmaceuticals Inc,Minerals Technologies Inc,0.020448942
Svb Financial Group,2,Zoom Video Communications Inc,Peloton Interactive Inc,0.000292128
Svb Financial Group,2,Mednax Inc,R1 Rcm Inc,0.126199184
Svb Financial Group,2,Roku Inc,Tesla Inc,0.029504902
Svb Financial Group,2,Hertz Global Holdings Inc,United States Steel Corp,0.227859638
Svb Financial Group,2,Fair Isaac Corp,International Business Machines Corp,1.059547319
Svb Financial Group,2,Paramount Group Inc,Acm Research Inc,0.028044263
Svb Financial Group,2,Blucora Inc,Altaba Inc,1.229857792
Svb Financial Group,2,Gci Liberty Inc,Mvc Capital Inc,0.000292128
Svb Financial Group,2,Moodys Corp /De/,Jdcom Inc,0.000292128
Svb Financial Group,2,Intercontinental Exchange,African Barrick Gold Plc,0.000292128
Svb Financial Group,2,Amgen Inc,Focus Financial Partners Inc,0.021033197
Svb Financial Group,2,Intercontinental Exchange,Contura Energy Inc,0.000292128
Svb Financial Group,2,Medtronic Public Limited Company,Delta Air Lines Inc,0.210331974
Svb Financial Group,2,Moodys Corp /De/,Tailored Brands Inc,0.000292128
Svb Financial Group,2,Geron Co Ltd,Westpac Banking Corp,0.140513444
Svb Financial Group,2,Moodys Corp /De/,Firstenergy Corp,0.000292128
Svb Financial Group,2,Hertz Global Holdings Inc,J Crew Group Inc,0.000292128
Svb Financial Group,2,Nasdaq Inc,Telenav Inc,0.000292128
Svb Financial Group,2,Hertz Global Holdings Inc,Extraction Oil And Gas Inc,0.000292128
Svb Financial Group,3,Kalvista Pharmaceuticals Inc,Ohr Pharmaceutical Inc,0.00262666
Svb Financial Group,3,Verastem Inc,Modernatx Inc,0.038104497
Svb Financial Group,3,Pacific Gas And Electric Co,Sed International Holdings Inc,0.207342461
Svb Financial Group,3,Voyager Therapeutics Inc,Neurocrine Biosciences Inc,0.050000071
Svb Financial Group,3,Aerojet Rocketdyne Holdings,Brookfield Mortgage Opportunity Income Fund Inc,0.000182385
Svb Financial Group,3,Alpine Immune Sciences Inc,Nabriva Therapeutics Plc,0.085100666
Svb Financial Group,3,Harrow Health Inc,Nds Group Ltd,0.003593146
Svb Financial Group,3,Arbutus Biopharma Cp,Assembly Biosciences,0.009208119
Svb Financial Group,3,Post Holdings Inc,Jandj Snack Foods Corp,0.000444272
Svb Financial Group,3,Mimedx Group Inc,Osiris Therapeutics Inc,0.001376463
Svb Financial Group,3,Toyota Motor Corp,Aisin Seiki Co Ltd,0.000748247
Svb Financial Group,3,Ait Therapeutics Inc,Valeritas Holdings Inc,0.000710835
Svb Financial Group,3,Natural Resource Partners Lp,Contura Energy Inc,2.49E-05
Svb Financial Group,3,Endo International Plc,Eagle Pharmaceuticals Inc,0.191682267
Svb Financial Group,3,Nissan Motor Co Ltd,Mitsubishi Motors Corp,0.006921288
Svb Financial Group,3,Windtree Therapeutics Inc /De/,Clinigen Group Plc,0.000954015
Svb Financial Group,3,Diamond Resorts Corp,Diamond Resorts International Inc,0.000611069
Svb Financial Group,3,Northwestern Corp,Talen Energy Corp,0.000210445
Svb Financial Group,3,Cotiviti Holdings,Cms Bancorp Inc,0.741934022
Svb Financial Group,3,Aecom Limited,Zurich Insurance Co Ltd,0.002805928
Svb Financial Group,3,London Stock Exchange Group Plc,Hiscox Ltd,0.0040078
Svb Financial Group,3,Apollo Global Management Llc,Presidio Inc,0.219947311
Svb Financial Group,3,Frequency Therapeutics Inc,Otonomy Inc,0.000212003
Svb Financial Group,3,Novelion Therapeutics Inc,Epirus Biopharmaceuticals Inc,0.00012159
Svb Financial Group,3,Graco Inc,Carlisle Companies Inc,0.000657055
Svb Financial Group,3,Integer Holdings Corp,Nuvectra Corp,0.000233827
Svb Financial Group,3,Merck And Co Inc,Alnylam Pharmaceuticals Inc,0.002805928
Svb Financial Group,3,Energy Fuels Inc,Largo Resources Ltd,0.000841778
Svb Financial Group,3,Gap Inc,Inditex Sa,0.001147313
Svb Financial Group,3,Geron Co Ltd,Imago Biosciences Inc,0.000476228
Svb Financial Group,3,Morphic Holding Inc,Pliant Therapeutics Inc,0.000159003
Svb Financial Group,3,Kempharm Inc,Johnson Matthey Plc,0.005574443
Svb Financial Group,3,Orbital Atk Inc,Hercules Inc,0.028523813
Svb Financial Group,3,Aviva Plc,Gemalto Nv,0.000280593
Svb Financial Group,3,Anthem Inc,Symantec Corp,0.524421632
Svb Financial Group,3,Getty Images Inc,Pgande Corp,23.71273824
Svb Financial Group,3,Sandridge Energy Inc,Sandridge Mississippian Trust I,0.00151624
Svb Financial Group,3,Retrophin Inc,Oramed Pharmaceuticals Inc,0.001979738
Svb Financial Group,3,Braze Inc,Apple Inc,3.151232841
Svb Financial Group,3,Calgon Carbon Corp,Grupo Aeroportuario Del Pacifico,0.001473112
Svb Financial Group,3,Ventas Inc,Brookdale Senior Living Inc,0.072417874
Svb Financial Group,3,Las Vegas Sands Corp,Galaxy Entertainment Group Ltd,0.000851131
Svb Financial Group,3,Lantheus Holdings,Molecular Insight Pharmaceuticals Inc,0.000860484
Svb Financial Group,3,Tencent Holdings Ltd,Sina Corp,0.008106013
Svb Financial Group,3,Netlist Inc,Samsung Electronics Gmbh,0.673402358
Svb Financial Group,3,Google,Globant Sa,0.002182388
Svb Financial Group,3,Hms Holdings Corp,Vicon Industries Inc,0.056955654
Svb Financial Group,3,Comtech Telecommunications Corp /De/,Gilat Satellite Networks Ltd,8.42E-05
Svb Financial Group,3,Spectrum Pharmaceuticals Inc,Allergan Plc,0.068801345
Svb Financial Group,3,American Financial Group Inc,Global-Tech Advanced Innovations Inc,0.000698364
Svb Financial Group,3,Cypress Semiconductor Corp /De/,Pool Corp,0.098152906
Svb Financial Group,3,American Airlines Group Inc,Jetblue Airways Corp,0.090756169
Svb Financial Group,3,Tyson Foods Inc,Conagra Brands Inc,0.860780644
Svb Financial Group,3,Getty Realty Corp,Lithium Americas Corp,0.060062439
Svb Financial Group,3,Actinium Pharmaceuticals Inc,Targa Resources Partners Lp,0.00296493
Svb Financial Group,3,Hms Holdings Corp,Phase Forward Inc,0.005625885
Svb Financial Group,3,Ebay Inc,Live Nation Entertainment,0.014372585
Svb Financial Group,3,Pbf Holding Co Llc,Williams Companies Inc,1.057591524
Svb Financial Group,3,Syros Pharmaceuticals,Sellas Life Sciences Group Inc,0.000374124
Svb Financial Group,3,Limelight Networks,Akamai Technologies Inc,0.059111541
Svb Financial Group,3,Dicerna Pharmaceuticals Inc,Adial Pharmaceuticals Inc,8.11E-05
Svb Financial Group,3,Lakeland Industries Inc,Chino Commercial Bcp,1.87E-05
Svb Financial Group,3,Pfizer Inc,Comerica Inc /New/,1.906412681
Svb Financial Group,3,Deutsche Bank,Haier Electronics Group Co Ltd,0.005368675
Svb Financial Group,3,Federal Home Loan Mortgage Corp,Countrywide Financial Corp,0.010484816
Svb Financial Group,3,Visa Inc,Centerpoint Energy Inc,1.119455992
Svb Financial Group,3,Proteostasis Therapeutics Inc,Fgl Holdings,1.411568643
Svb Financial Group,3,Energy Fuels Inc,Ur-Energy Inc,0.000763836
Svb Financial Group,3,Delta Air Lines Inc,Avianca Holdings Sa,0.057253394
Svb Financial Group,3,Comtech Telecommunications Corp /De/,Applied Signal Technology Inc,0.001041311
Svb Financial Group,3,Iac/Interactive,Google,6.740048532
Svb Financial Group,3,Tesla Inc,Massmart Holdings Ltd,0.000798131
Svb Financial Group,3,Markel Corp,Alterra Capital Holdings Ltd,0.036199584
Svb Financial Group,3,Alabama Power Company,Canadian Solar Inc,0.004221362
Svb Financial Group,3,Caesars Acquisition Co,Caesars Entertainment Corp,0.192773461
Svb Financial Group,3,Geron Co Ltd,Keros Therapeutics Inc,0.000501949
Svb Financial Group,3,Valeant Pharmaceuticals International Inc,Santarus Inc,0.003257994
Svb Financial Group,3,Microsoft Corp,Quantum Computing Inc,0.000511302
Svb Financial Group,3,Visa Inc,Netspend Holdings Inc,0.016134084
Svb Financial Group,3,Enterprise Products Partners L P,Amec Foster Wheeler Plc,0.002307096
Svb Financial Group,3,Inogen Inc,Resmed Inc,0.042958752
Svb Financial Group,3,Natera Inc,Progenity Inc,3.27E-05
Svb Financial Group,3,Nissan Motor Co Ltd,Toyota Motor Corp,0.01367422
Svb Financial Group,3,Diamond Offshore Drilling,Seadrill Ltd,0.006601724
Svb Financial Group,3,Spire Corp,Pandora Media Inc,0.000367888
Svb Financial Group,3,Equitrans Midstream Corporation,Eqgp Holdings Lp,0.001437258
