GRAPH,NODE DISTANCE,STARTING NODE,ENDING NODE,INTENSITY
Svb Financial Group,3,Ophthotech Corp,Nektar Therapeutics,0.425191562
Svb Financial Group,3,Tyson Foods Inc,Arlington Asset Investment Corp,0.456748894
Svb Financial Group,3,Mobileiron Inc,Blackberry Ltd,0.458426215
Svb Financial Group,3,Albireo Pharma Inc,Brookfield Asset Management Inc,0.470968712
Svb Financial Group,3,Shopify Inc,Etsy Inc,0.480805047
Svb Financial Group,3,Yum China Holdings Inc,Hrg Group Inc,0.493219718
Svb Financial Group,3,Biospecifics Technologies Corp,Endo International Plc,0.494848714
Svb Financial Group,3,T-Mobile Us,Metro Inc,0.50297811
Svb Financial Group,3,Capstone Turbine Corp,Warner Media Llc,0.509556452
Svb Financial Group,3,Anthem Inc,Symantec Corp,0.524421632
Svb Financial Group,3,Simon Property Group Inc /De/,Jc Penney,0.534172231
Svb Financial Group,3,Bank Of America Corp,Countrywide Financial Corp,0.543829298
Svb Financial Group,3,Jounce Therapeutics Inc,Glaxosmithkline Plc,0.551289948
Svb Financial Group,3,Orbcomm Inc,Union Pacific Corp,0.586061626
Svb Financial Group,3,Netlist Inc,Samsung Electronics Gmbh,0.673402358
Svb Financial Group,3,Echostar Corp,Dish Network Corp,0.678655678
Svb Financial Group,3,Mplx Lp,Factset Research Systems Inc,0.706501392
Svb Financial Group,3,Cotiviti Holdings,Cms Bancorp Inc,0.741934022
Svb Financial Group,3,Tyson Foods Inc,Conagra Brands Inc,0.860780644
Svb Financial Group,3,Ambac Financial Group Inc,Assured Guaranty Ltd,0.894255361
Svb Financial Group,3,Pbf Holding Co Llc,Williams Companies Inc,1.057591524
Svb Financial Group,3,Visa Inc,Centerpoint Energy Inc,1.119455992
Svb Financial Group,3,Group 1 Automotive Inc,Bmw Ag St,1.124732694
Svb Financial Group,3,Kindred Healthcare Inc,Ventas Inc,1.126104481
Svb Financial Group,3,Fuelcell Energy Inc,Exxon Mobil Corp,1.180678214
Svb Financial Group,3,American Airlines Group Inc,United Continental Holdings,1.312407162
Svb Financial Group,3,Proteostasis Therapeutics Inc,Fgl Holdings,1.411568643
Svb Financial Group,3,Crowdstrike Holdings Inc,Amazon Com Inc,1.529888374
Svb Financial Group,3,Gemphire Therapeutics Inc,First Trust New Opportunities M,1.763525495
Svb Financial Group,3,Pfizer Inc,Comerica Inc /New/,1.906412681
Svb Financial Group,3,Braze Inc,Apple Inc,3.151232841
Svb Financial Group,3,National General Holdings Corp,Willis Towers Watson Plc,4.130119655
Svb Financial Group,3,Altaba Inc,Twitter Inc,4.660474265
Svb Financial Group,3,Beigene Ltd,Novartis Ag,4.694204632
Svb Financial Group,3,Mosys Inc,Intel Corp,4.820159605
Svb Financial Group,3,Hancock Whitney Corporation,Visa Inc,5.151659685
Svb Financial Group,3,Humana Inc,Cigna Corp,5.409313987
Svb Financial Group,3,Iac/Interactive,Google,6.740048532
Svb Financial Group,3,Anthem Inc,Cigna Corp,6.827429794
Svb Financial Group,3,Apellis Pharmaceuticals Inc,Advanced Micro Devices Inc,7.499215626
Svb Financial Group,3,Kite Pharma Inc,Gilead Sciences Inc,8.867813047
Svb Financial Group,3,Hon Hai Precision Industry Co Ltd,Apple Inc,9.383763896
Svb Financial Group,3,Godaddy Inc,Twitter Inc,12.46728191
